month,date,deep-subprime_yoy,subprime_yoy,near-prime_yoy,prime_yoy,super-prime_yoy
72,2006-01,0.136921284762753,0.160902752604656,0.16361707130908,0.215207022563363,0.0699686956071681
73,2006-02,-0.851026643658848,-0.702164681486513,-0.526068106431357,-0.477171678301714,-0.299477033504451
74,2006-03,-0.0104409383928459,0.148075715520095,0.0449257008555959,0.108846113263886,0.0405674207304594
75,2006-04,-0.0175763161545665,0.0625194522225088,0.0278370189161892,0.0204825671379456,0.0238829355830472
76,2006-05,0.0588573214962398,0.105028729430857,0.107100633853452,0.105901210340185,0.146948686376437
77,2006-06,-0.164234192030593,-0.0585374437295263,-0.00706695293481052,-0.0488598546827924,-0.0872779435967933
78,2006-07,-0.00995468978462022,0.020448901732083,0.0694508462060983,0.0638973940323764,0.140405729625559
79,2006-08,0.103357382675739,-0.0563336351818701,-0.0157754476156641,0.00079148240285698,-0.00540969895775478
80,2006-09,0.0184317491234736,-0.0636851392680302,-0.0155048836416879,-0.0350965495687122,-0.0679908378521631
81,2006-10,0.277425558443754,0.00409129003881148,-0.0154270803126449,0.0891947801278725,0.352752212810049
82,2006-11,0.302866472053057,0.0911706745854708,0.0117886992670386,0.0833141423845296,0.0518938887670499
83,2006-12,0.404877851142401,-0.0106882212564937,-0.0952261078224954,-0.0578650583929922,0.000211491880056425
84,2007-01,0.876863789751154,0.131512212205759,0.0580490670283464,-0.0399112555070378,0.0217099272175834
85,2007-02,0.188369532684178,0.0109856292345907,-0.0377046698355555,0.0222729396105938,0.0129615934200005
86,2007-03,0.197230562562636,-0.0213453401759839,-0.0717902525797806,-0.075516264079122,0.00794846273479366
87,2007-04,0.158682313755593,0.107632579007908,0.00989401015247826,0.00527573832080996,-0.00813912669575656
88,2007-05,0.183142725032576,0.0846493151761172,-0.02635396466426,-0.0142928092862945,-0.034343170184604
89,2007-06,0.100814612174298,0.0509886910658661,-0.0093955622869849,-0.063841211001193,-0.0822466032381209
90,2007-07,0.155872626946875,0.0929190299957741,-0.00692783271145325,-0.0428844385780508,0.0253747872199388
91,2007-08,0.077382362917791,0.0595557887985181,-0.0326030589897982,-0.0233310928296327,0.02447657480444
92,2007-09,-0.0659377424866697,-0.0131629496299814,-0.107821915235197,-0.115542835308965,-0.00602381039378552
93,2007-10,0.00205090877444891,0.0352539085917587,-0.0251450087574104,0.0343741670359046,-0.158943968641906
94,2007-11,-0.171469455994935,-0.0172755661154275,-0.00334547532072005,0.0113804628922567,0.0346702478905192
95,2007-12,-0.230512110067697,-0.103063972311718,-0.144821511404826,-0.176140162378963,-0.0548025760220902
96,2008-01,-0.476377439473115,-0.22659368498001,-0.235382519723534,-0.186831114421301,-0.0458547877440727
97,2008-02,-0.108769323957154,-0.0948424415624946,-0.142001232459295,-0.114153203963711,0.0929640075265619
98,2008-03,-0.184785322584697,-0.225406131705045,-0.209904745402312,-0.166623898627196,-0.0964829396674652
99,2008-04,-0.0242072423906483,-0.195899924838813,-0.142312518777798,-0.148989114434861,0.0400332390463429
100,2008-05,-0.0991422195231735,-0.249758398452594,-0.231051922895041,-0.230855901529425,-0.0712782317853879
101,2008-06,-0.111762315647974,-0.228504875207331,-0.221086744442503,-0.239630655935985,-0.121621154345711
102,2008-07,-0.0534710903490526,-0.17442850914861,-0.222769645013931,-0.209055865730723,-0.145123340261805
103,2008-08,-0.159028672883613,-0.26247282735984,-0.292983110893667,-0.30725170690399,-0.220064152078301
104,2008-09,0.0901318877038295,-0.150377614239271,-0.22616169235764,-0.164575250508469,-0.0944125235803159
105,2008-10,-0.0252392893850291,-0.32983323766353,-0.347273176066723,-0.439211596205876,-0.296791574557373
106,2008-11,-0.169037509541015,-0.400053018043942,-0.4879983088552,-0.452892882742602,-0.385952925658528
107,2008-12,-0.112763805873175,-0.304585014751571,-0.377827563257712,-0.278034487415375,-0.256699610434935
108,2009-01,-0.150120207452522,-0.411778667489377,-0.440429777078312,-0.425144129451557,-0.383714342353361
109,2009-02,-0.185156245170158,-0.365765651130662,-0.469024875546677,-0.396250130379837,-0.474283886920554
110,2009-03,-0.138784862966169,-0.336700146735814,-0.398757232849687,-0.43507323099479,-0.412548334143127
111,2009-04,-0.15439391301929,-0.313726411483567,-0.396443276575539,-0.448421451665002,-0.45051349313736
112,2009-05,-0.199811370207259,-0.363312912895319,-0.447707020040116,-0.458682779059084,-0.468459291041782
113,2009-06,-0.145860425315367,-0.304163801893345,-0.396413065413596,-0.399654980290226,-0.362484838630424
114,2009-07,-0.189912423535907,-0.408976569506901,-0.447135790742857,-0.402581089743881,-0.407421153658166
115,2009-08,-0.22492563866745,-0.3928902099619,-0.46703429389675,-0.425588693731232,-0.431530499920836
116,2009-09,-0.200371137299252,-0.38239152347872,-0.452844544135777,-0.422837545396462,-0.40835839345835
117,2009-10,-0.276638282870824,-0.290408952205406,-0.375212070281697,-0.240340277606514,-0.28687932635455
118,2009-11,-0.267435529395837,-0.262987137378043,-0.257266074385409,-0.285321439471658,-0.252762532839208
119,2009-12,-0.0670528620647213,-0.212582058932939,-0.224340238823978,-0.264734906553157,-0.217532607693133
120,2010-01,-0.26082008180104,-0.205882085612334,-0.342166547678153,-0.291032839583853,-0.245827030245184
121,2010-02,-0.21818085367052,-0.224848194610737,-0.319074885775238,-0.258881559165875,-0.234567901832068
122,2010-03,-0.100411753911118,-0.0938532739896455,-0.132726891642306,-0.017585354987609,-0.0614795293215277
123,2010-04,-0.137439614389452,-0.171323986353468,-0.205981217559899,-0.0223085689621431,-0.0252299234719737
124,2010-05,-0.192874747273652,-0.129667504776166,-0.156044738205347,-0.00383329826435441,0.16711249878278
125,2010-06,-0.153540383273108,-0.119238576026695,-0.193858621346815,-0.0093422712233191,-0.0553775407130322
126,2010-07,-0.166270571298352,-0.0469108376145028,-0.0585132197776147,-0.0381944683403598,-0.0500486222201838
127,2010-08,-0.0227142062474206,0.0917725927506601,0.0946229623359904,0.0980796865359714,0.210755981502661
